Rule,support,confidence,lift
"Sucrose (common sugar), Wheat bread and rolls, white (refined flour)  ⇒  Cocoa beverage-preparation, powder",0.056,0.6363636363636365,11.363636363636365
"Cocoa beverage-preparation, powder  ⇒  Sucrose (common sugar), Wheat bread and rolls, white (refined flour)",0.056,1.0,11.363636363636365
"Chili peppers, PROCESS = Raw, no heat treatment, PROCESS = Boiling, QUALITATIVE-INFO = Red, Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole  ⇒  Wheat bread and rolls, white (refined flour)",0.056,1.0,10.416666666666666
"Cocoa beverage-preparation, powder  ⇒  Wheat bread and rolls, white (refined flour)",0.056,1.0,10.416666666666666
"Cocoa beverage-preparation, powder, Sucrose (common sugar)  ⇒  Wheat bread and rolls, white (refined flour)",0.056,1.0,10.416666666666666
"Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole  ⇒  Sucrose (common sugar), Wheat bread and rolls, white (refined flour)",0.064,0.888888888888889,10.101010101010102
"Sucrose (common sugar), Wheat bread and rolls, white (refined flour)  ⇒  Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole",0.064,0.7272727272727273,10.101010101010102
"Wheat bread and rolls, white (refined flour)  ⇒  Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole",0.064,0.6666666666666666,9.25925925925926
"Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole  ⇒  Wheat bread and rolls, white (refined flour)",0.064,0.888888888888889,9.25925925925926
"Sucrose (common sugar), Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole  ⇒  Wheat bread and rolls, white (refined flour)",0.064,0.888888888888889,9.25925925925926
"Wheat bread and rolls, white (refined flour)  ⇒  Sucrose (common sugar), Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole",0.064,0.6666666666666666,9.25925925925926
"Chili peppers, PROCESS = Raw, no heat treatment, PROCESS = Boiling, QUALITATIVE-INFO = Red, Wheat bread and rolls, white (refined flour)  ⇒  Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole",0.056,0.6363636363636365,8.838383838383841
"Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole  ⇒  Chili peppers, PROCESS = Raw, no heat treatment, PROCESS = Boiling, QUALITATIVE-INFO = Red, Wheat bread and rolls, white (refined flour)",0.056,0.7777777777777779,8.838383838383841
"Okra, PROCESS = Raw, no heat treatment, PROCESS = Boiling, Palm oil/fat, QUALITATIVE-INFO = Red  ⇒  Porridge water based (ready to eat), PROCESS = Boiling, INGREDIENT = Cassava roots",0.064,0.888888888888889,8.547008547008549
"Porridge water based (ready to eat), PROCESS = Boiling, INGREDIENT = Cassava roots  ⇒  Okra, PROCESS = Raw, no heat treatment, PROCESS = Boiling, Palm oil/fat, QUALITATIVE-INFO = Red",0.064,0.6153846153846154,8.547008547008549
"Sucrose (common sugar), Palm oil/fat, QUALITATIVE-INFO = Red  ⇒  Wheat bread and rolls, white (refined flour)",0.064,0.8,8.333333333333334
"Wheat bread and rolls, white (refined flour)  ⇒  Sucrose (common sugar), Palm oil/fat, QUALITATIVE-INFO = Red",0.064,0.6666666666666666,8.333333333333332
"Wheat bread and rolls, white (refined flour)  ⇒  Sucrose (common sugar), Chili peppers, PROCESS = Raw, no heat treatment, PROCESS = Boiling, QUALITATIVE-INFO = Red",0.08,0.8333333333333334,8.012820512820513
"Sucrose (common sugar), Chili peppers, PROCESS = Raw, no heat treatment, PROCESS = Boiling, QUALITATIVE-INFO = Red  ⇒  Wheat bread and rolls, white (refined flour)",0.08,0.7692307692307693,8.012820512820513
"Milk powder, full fat, SOURCE-COMMODITIES = Cow milk, whole  ⇒  Sucrose (common sugar)",0.072,1.0,7.8125
"Cocoa beverage-preparation, powder, Wheat bread and rolls, white (refined flour)  ⇒  Sucrose (common sugar)",0.056,1.0,7.8125
"Cocoa beverage-preparation, powder  ⇒  Sucrose (common sugar)",0.056,1.0,7.8125
"Salt, Wheat bread and rolls, white (refined flour)  ⇒  Sucrose (common sugar)",0.064,1.0,7.8125
